하루가 또 가네요.	하루가 또 갔습니다.
진짜 아니네요.	진짜 아닌 것 같습니다.
놀러가세요!	놀러가십시오!
놀러가세요!	놀러가십시오!
짜지 마세요.	짜지 마십시오.
꿩 먹고 알 먹고네요.	꿩 먹고 알 먹고 입니다.
당당히 말씀해보세요.	당당히 말씀해보십시오.
당신을 인정해줄 곳을 찾아보세요.	당신을 인정해줄 곳을 찾아보십시오.
당신을 인정해줄 곳을 찾아보세요.	당신을 인정해줄 곳을 찾아보십시오.
건강에도 좋겠네요.	건강에도 좋겠습니다.
지금도 그래요.	지금도 그렇습니다.
지금도 그래요.	지금도 그렇습니다.
너무 무리하면 지쳐요.	너무 무리하면 지칩니다.
너무 무리하면 지쳐요.	너무 무리하면 지칩니다.
조금씩 갚아나가세요.	조금씩 갚아나가십시오.
많이 빌렸으니까요.	많이 빌렸으니까 그렇지 않겠습니까.
괜찮을 거예요.	괜찮을 겁니다.
조금씩 갚아나가세요.	조금씩 갚아나가십시오.
사람들이 몰라줘도 알아주는 사람이 있을 거예요.	사람들이 몰라줘도 알아주는 사람이 있을 겁니다.
나중에 알아줄 거예요.	나중에 알아줄 겁니다.
할 수 있을거예요!!	할 수 있을겁니다!!
장단점을 분석해보세요.	장단점을 분석해보십시오.
행복은 마음 가짐에 있어요.	행복은 마음 가짐에 있습니다.
행복은 마음 가짐에 있어요.	행복은 마음 가짐에 있습니다.
장단점을 분석해보세요.	장단점을 분석해보십시오.
행복은 마음 가짐에 있어요.	행복은 마음 가짐에 있습니다.
부러우면 지는 거예요.	부러우면 지는 겁니다.
막막하겠네요.	막막하겠습니다.
막막하겠네요.	막막하겠습니다.
할 수 있을거예요!!	할 수 있을겁니다!!
개인의 선택이죠.	개인의 선택입니다.
꿈에 도전하는 건 좋은 거라고 들었어요.	꿈에 도전하는 건 좋은 거라고 들었습니다.
꿈에 도전하는 건 좋은 거라고 들었어요.	꿈에 도전하는 건 좋은 거라고 들었습니다.
아무것도 하지마세요.	아무것도 하지마십시오.
하루에 하나씩 변화해보세요.	하루에 하나씩 변화해보십시오.
명확하게 거부의 의사를 표현하세요.	명확하게 거부의 의사를 표현하십시오.
당신의 잠재력은 무궁무진해요.	당신의 잠재력은 무궁무진합니다.
명확하게 거부의 의사를 표현하세요.	명확하게 거부의 의사를 표현하십시오.
해주세요.	해주십시오.
여름이네요.	여름입니다.
찬물 샤워를 해보세요.	찬물 샤워를 해보십시오.
사람 그렇게 쉽게 죽지 않아요.	사람 그렇게 쉽게 죽지 않습니다.
차가운 음료 너무 많이 마시면 아니 되어요	차가운 음료 너무 많이 마시면 아니 됩니다.
잠이 최고의 보약이에요. 노력해보세요.	잠이 최고의 보약입니다. 노력해보십시오.
아이스크림 먹어보세요	아이스크림 먹어보십시오!
찬물 샤워를 해보세요.	찬물 샤워를 해보십시오.
로맨틱하네요.	로맨틱하십니다.
로맨틱하네요.	로맨틱하십니다.
좋아하는 게 있는 건 더없이 좋은 일이에요.	좋아하는 게 있는 건 더없이 좋은 일입니다.
좋아하는 게 있는 건 더없이 좋은 일이에요.	좋아하는 게 있는 건 더없이 좋은 일입니다.
서로에게 귀 기울이는 방법도 있어요.	서로에게 귀 기울이는 방법도 있습니다.
난감하겠어요.	난감하겠습니다.
많이 바쁜가봐요.	많이 바쁜가 봅니다.
데이트하기 좋은 곳이죠.	데이트하기 좋은 곳입니다.
그 조차 매력이겠죠.	그 조차 매력이겠습니다.
미끄러우니 조심하세요.	미끄러우니 조심하십시오.
열심히 공부하길 바랍니다.	열심히 공부하길 바랍니다.
열심히 공부하길 바랍니다.	열심히 공부하길 바랍니다.
도서관도 다니시나봐요.	도서관도 다니시나 봅니다.
까먹었나봐요.	까먹었나 봅니다.
도서관 다녀오세요.	도서관 다녀오십시오.
도서관도 다니시나봐요.	도서관도 다니시나 봅니다.
맛있게 드세요.	맛있게 드십시오.
쉬운 일이 아니에요.	쉬운 일이 아닙니다.
건강을 챙긴다는 마음으로 해보세요.	건강을 챙긴다는 마음으로 해보십시오.
쉬운 일이 아니에요.	쉬운 일이 아닙니다.
맛있게 드세요.	맛있게 드십시오.
갈때 저도 같이 가요.	갈때 저도 같이 가고 싶습니다.
갈때 저도 같이 가요.	갈때 저도 같이 가고 싶습니다.
맛있게 드세요.	맛있게 드십시오.
맛있게 드세요.	맛있게 드십시오.
잊지말고 보답하세요.	잊지말고 보답하십시오.
안정적인 걸 좋아하나봐요.	안정적인 걸 좋아하나 봅니다.
건강에 유의하세요.	건강에 유의하십시오.
배우자와 대화를 나눠보세요.	배우자와 대화를 나눠보십시오.
좋은 생각이에요.	좋은 생각입니다.
더 깊은 공부할 수 있을 거예요.	더 깊은 공부할 수 있을 겁니다.
없다가 있어서 그런가봐요.	없다가 있어서 그런가 봅니다.
저도 좀 알려주세요.	저도 좀 알려주십시오.
돈은 다시 들어올 거예요.	돈은 다시 들어올 겁니다.
가게부를 써보세요.	가게부를 써보십시오.
가게부를 써보세요.	가게부를 써보십시오.
새는 돈을 막아보세요.	새는 돈을 막아보십시오.
돈이 전부는 아니지만 돈보다 좋은건 없다고 했어요.	돈이 전부는 아니지만 돈보다 좋은건 없다고 했습니다.
그게 최고죠.	그게 최고입니다.
공부하세요.	공부하십시오.
공부하세요.	공부하십시오.
쓰지 않으면 모여요.	쓰지 않으면 모입니다.
부자되실 거예요!	부자되실 겁니다!
부자되실 거예요!	부자되실 겁니다!
남의 돈 버는 게 쉽지 않아요.	남의 돈 버는 게 쉽지 않습니다.
남의 돈 버는 게 쉽지 않아요.	남의 돈 버는 게 쉽지 않습니다.
저도요.	저도 그렇습니다.
많이 벌수록 좋아요.	많이 벌수록 좋습니다.
저 주세요.	저 주십시오.
저 주세요.	저 주십시오.
차용증 썼길 바랍니다.	차용증 썼길 바랍니다.
차용증 썼길 바랍니다.	차용증 썼길 바랍니다.
등산 데이트를 해보세요.	등산 데이트를 해보십시오.
퍼가요~	퍼갑니다~
필요하다면요.	필요하다면 그렇습니다.
벌면 돼요.	벌면 됩니다.
등산 데이트를 해보세요.	등산 데이트를 해보십시오.
허례허식이에요.	허례허식입니다.
이제라도 더 조심하세요.	이제라도 더 조심하십시오.
쓰지 않으면 모여요.	쓰지 않으면 모입니다.
저는 돈이 없어요.	저는 돈이 없습니다.
없다가 있어서 그런가봐요.	없다가 있어서 그런가 봅니다.
서로 마음만 맞으면 가능해요.	서로 마음만 맞으면 가능합니다.
한푼 두푼 차곡차곡	한푼 두푼 차곡차곡
새는 돈을 막아보세요.	새는 돈을 막아보십시오.
한푼 두푼 차곡차곡	한푼 두푼 차곡차곡
퍼가요~	퍼갑니다~
벌면 돼요.	벌면 됩니다.
이제라도 더 조심하세요.	이제라도 더 조심하십시오.
돈 없어도 할 수 있는게 많아요	돈 없어도 할 수 있는게 많습니다.
슬프네요.	슬픕니다.
돈이 전부는 아니지만 돈보다 좋은건 없다고 했어요.	돈이 전부는 아니지만 돈보다 좋은건 없다고 했습니다.
잘 해결될 거예요.	잘 해결될 겁니다.
잘 해결될 거예요.	잘 해결될 겁니다.
축하해주고 오세요.	축하해주고 오십시오.
다음에는 할 수 있을 거예요.	다음에는 할 수 있을 겁니다.
다음에는 할 수 있을 거예요.	다음에는 할 수 있을 겁니다.
피해를 안 준다면 무시하세요.	피해를 안 준다면 무시하십시오.
대화의 눈높이가 맞는 사람 만나세요.	대화의 눈높이가 맞는 사람 만나십시오.
감기 조심하세요.	감기 조심하십시오.
감기 조심하세요.	감기 조심하십시오.
순서는 상관 없죠.	순서는 상관없습니다.
순서는 상관 없죠.	순서는 상관없습니다.
싸우면서 크는 거죠.	싸우면서 크는 겁니다.
싸우면서 크는 거죠.	싸우면서 크는 겁니다.
이거 정말 큰일이네요.	이거 정말 큰일입니다.
화를 참는 연습을 해보세요.	화를 참는 연습을 해보십시오.
화를 참는 연습을 해보세요.	화를 참는 연습을 해보십시오.
저는 성이 없어요.	저는 성이 없습니다.
저는 성이 없어요.	저는 성이 없습니다.
재미있게 놀다 오세요.	재미있게 놀다 오십시오.
오늘은 쉬세요.	오늘은 쉬십시오.
오늘은 쉬세요.	오늘은 쉬십시오.
취미생활은 좋은 거예요.	취미생활은 좋은 겁니다.
재미있게 놀다 오세요.	재미있게 놀다 오십시오.
취미생활은 좋은 거예요.	취미생활은 좋은 겁니다.
눈을 깜빡거려 보세요.	눈을 깜빡거려 보십시오.
더 많아도 괜찮아요.	더 많아도 괜찮습니다.
거창하지 않아도 돼요.	거창하지 않아도 됩니다.
이제부터 일이 잘 풀릴 거예요.	이제부터 일이 잘 풀릴 겁니다.
현실의 벽에 부딪혔나봐요.	현실의 벽에 부딪혔나 봅니다.
잘 하실 거예요!	잘 하실 겁니다!
발달된 감각이 다르죠.	발달된 감각이 다릅니다.
눈치가 빠르시군요.	눈치가 빠르신 것 같습니다.
살짝 뒤돌아봐도 괜찮아요.	살짝 뒤돌아봐도 괜찮습니다.
항상 조심하세요.	항상 조심하십시오.
항상 조심하세요.	항상 조심하십시오.
신경쓰지 마세요.	신경쓰지 마십시오.
신경쓰지 마세요.	신경쓰지 마십시오.
30분씩 일찍 자는 습관을 들여보세요.	30분씩 일찍 자는 습관을 들여보십시오.
상처받지 마세요.	상처받지 마십시오.
상처받지 마세요.	상처받지 마십시오.
곧 방학이예요.	곧 방학입니다.
야경이 멋져요. 야경구경 가세요.	야경이 멋집니다. 야경구경 가십시오.
따뜻해졌죠.	따뜻해졌습니다.
좋았겠어요.	좋았겠습니다.
하늘만큼 땅만큼 축하해요	하늘만큼 땅만큼 축하합니다.
졸업 축하해요	졸업 축하합니다.
축하합니다.	축하합니다.
로맨틱한 선물이네요.	로맨틱한 선물입니다.
두근거리겠어요.	두근거리겠습니다.
재미있는 다른걸 찾아보세요.	재미있는 다른걸 찾아보십시오.
저도요! 그게 제일 편한거 같아요.	저도 그렇습니다! 그게 제일 편한거 같습니다.
영상을 보며 연습해봅시다.	영상을 보며 연습해봅시다.
영상을 보며 연습해봅시다.	영상을 보며 연습해봅시다.
야경 좋은 곳으로 가보세요.	야경 좋은 곳으로 가보십시오.
야경 좋은 곳으로 가보세요.	야경 좋은 곳으로 가보십시오.
솜씨가 좋으시네요.	솜씨가 좋으십니다.
방 여러 개인 집에서 사세요.	방 여러 개인 집에서 사십시오.
방 여러 개인 집에서 사세요.	방 여러 개인 집에서 사십시오.
미래에 유명한 자격증일 거예요.	미래에 유명한 자격증일 겁니다.
미래에 유명한 자격증일 거예요.	미래에 유명한 자격증일 겁니다.
의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 거예요.	의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 겁니다.
그러게 말이에요.	그러게 말입니다.
그러게 말이에요.	그러게 말입니다.
같이 등산해요.	같이 등산합니다.
포근한 느낌 저도 좋아해요.	포근한 느낌 저도 좋아합니다.
포근한 느낌 저도 좋아해요.	포근한 느낌 저도 좋아합니다.
보일러가 온수로 작동하는지 보세요.	보일러가 온수로 작동하는지 보십시오.
현재를 즐기세요!	현재를 즐기십시오!
많은걸 하고 싶은데 아직 못하는게 많아요.	많은걸 하고 싶은데 아직 못하는게 많습니다.
시도해봐도 좋겠죠.	시도해봐도 좋을 것 같습니다.
신선한 과일 좋죠	신선한 과일 좋습니다.
맛있게 드세요.	맛있게 드십시오.
맛있게 드세요.	맛있게 드십시오.
저도 딸기 좋아해요. 같이 가요.	저도 딸기 좋아합니다. 같이 가고 싶습니다.
신선한 과일 좋죠	신선한 과일 좋습니다.
저도요!	저도 그렇습니다!
잘 알아보고 사세요.	잘 알아보고 사십시오.
잘 알아보고 사세요.	잘 알아보고 사십시오.
많이 지치고 힘든가봅니다.	많이 지치고 힘든가봅니다.
여행 좋죠!	여행 좋습니다!
드세요!	드십시오!
심호흡을 해보세요.	심호흡을 해보십시오.
as 맡기세요.	as 맡기십시오.
즐거운 시작 되길 바랍니다.	즐거운 시작 되길 바랍니다.
즐거운 시작 되길 바랍니다.	즐거운 시작 되길 바랍니다.
공부에 흥미를 가져보세요.	공부에 흥미를 가져보십시오.
눈 내리는게 싫은가 봐요.	눈 내리는게 싫은가  봅니다.
내일 보면 될 거예요.	내일 보면 될 겁니다.
뭘 먹든 맛있게 드세요!	뭘 먹든 맛있게 드십시오!
기분일꺼에요.	기분일껍니다.
차단 어플 사용해보세요.	차단 어플 사용해보십시오.
얼른 집에 가서 쉬시길 바랄게요.	얼른 집에 가서 쉬시길 바라겠습니다.
내일은 나을 거예요.	내일은 나을 겁니다.
조금 기다리면 풀릴 거예요	조금 기다리면 풀릴 겁니다.
더 일찍 일어나세요.	더 일찍 일어나십시오.
나를 관찰하고 음식 자체에 집중하세요.	나를 관찰하고 음식 자체에 집중하십시오.
시간이 참 빨리 흘러가네요.	시간이 참 빨리 흘러갑니다.
세상에는 별의별 사람들이 있어요.	세상에는 별의별 사람들이 있습니다.
세상에는 별의별 사람들이 있어요.	세상에는 별의별 사람들이 있습니다.
잘 전달할 수 있을 거예요.	잘 전달할 수 있을 겁니다.
마음에 따라 얼마든지 바뀔 수 있어요.	마음에 따라 얼마든지 바뀔 수 있습니다.
저는 위로봇입니다.	저는 위로봇입니다.
지금도 충분해요.	지금도 충분합니다.
지금도 충분해요.	지금도 충분합니다.
화장실 가세요.	화장실 가십시오.
몸은 뜨겁고 머리는 차갑게!	몸은 뜨겁고 머리는 차갑게!
인생은 항상 마음 먹은 대로 되지 않아요.	인생은 항상 마음 먹은 대로 되지 않습니다.
거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요.	거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으십니까? 의외로 재미 있습니다.
라면봉지 레시피 그대로 해보세요.	라면봉지 레시피 그대로 해보십시오.
저는 좋아요.	저는 좋습니다.
맛나게 끓여드세요.	맛나게 끓여드십시오.
맛나게 끓여드세요.	맛나게 끓여드십시오.
저는 좋아요.	저는 좋습니다.
라면봉지 레시피 그대로 해보세요.	라면봉지 레시피 그대로 해보십시오.
완전 귀엽죠?	완전 귀여운 것 같습니다.
돈 모아서 사세요.	돈 모아서 사십시오.
돈 모아서 사세요.	돈 모아서 사십시오.
손맛이 안 들어가서 그럴 수도 있어요.	손맛이 안 들어가서 그럴 수도 있습니다.
손맛이 안 들어가서 그럴 수도 있어요.	손맛이 안 들어가서 그럴 수도 있습니다.
차가 필요한 일이 있으신가봐요.	차가 필요한 일이 있으신가 봅니다.
회원정보 찾기를 해보세요.	회원정보 찾기를 해보십시오.
회원정보 찾기를 해보세요.	회원정보 찾기를 해보십시오.
제가 알면 제가 먼저 했을 거예요.	제가 알면 제가 먼저 했을 겁니다.
알면 제가 하죠.	알면 제가 하지 않겠습니까.
로또 먼저 사보세요.	로또 먼저 사보십시오.
제가 알면 제가 먼저 했을 거예요.	제가 알면 제가 먼저 했을 겁니다.
알면 제가 하죠.	알면 제가 하지 않겠습니까.
로또 먼저 사보세요.	로또 먼저 사보십시오.
놀이동산은 다 좋아할 거예요.	놀이동산은 다 좋아할 겁니다.
추울 때 딱이죠.	추울 때 딱입니다.
추울 때 딱이죠.	추울 때 딱입니다.
필요하다면 해야겠죠.	필요하다면 해야겠습니다.
배달 시키세요.	배달 시키십시오.
손재주가 좋으시네요.	손재주가 좋으십니다.
돈을 모아 땅을 사세요.	돈을 모아 땅을 사십시오.
시작은 다 좋죠.	시작은 다 좋습니다.
시작은 다 좋죠.	시작은 다 좋습니다.
따뜻한 물 한 잔 드세요.	따뜻한 물 한 잔 드십시오.
따뜻한 물 한 잔 드세요.	따뜻한 물 한 잔 드십시오.
꾸준한 자기 관리 좋아요.	꾸준한 자기 관리 좋습니다.
꾸준한 자기 관리 좋아요.	꾸준한 자기 관리 좋습니다.
다행이에요.	다행입니다.
제가 있잖아요.	제가 있지 않습니까.
다 잘 될 거예요.	다 잘 될 겁니다.
다 잘 될 거예요.	다 잘 될 겁니다.
마음 감기조심하세요.	마음 감기조심하십시오.
마음이라도 청춘이어야죠.	마음이라도 청춘이어야 합니다.
마음이라도 청춘이어야죠.	마음이라도 청춘이어야 합니다.
먼저 고백을 해보세요.	먼저 고백을 해보십시오.
너무 미워하지 마세요.	너무 미워하지 마십시오.
그럴 때가 있죠.	그럴 때가 있습니다.
그래서 표현이 중요해요.	그래서 표현이 중요합니다.
정리하는데 도움이 될 수도 있겠네요.	정리하는데 도움이 될 수도 있겠습니다.
정리하는데 도움이 될 수도 있겠네요.	정리하는데 도움이 될 수도 있겠습니다.
나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바라요.	나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바랍니다.
명상을 해보세요.	명상을 해보십시오.
긍정적인 생각을 해보세요.	긍정적인 생각을 해보십시오.
그래서 표현이 중요해요.	그래서 표현이 중요합니다.
너무 많이 생각하지 말고 마음 가는 대로 해보세요.	너무 많이 생각하지 말고 마음 가는 대로 해보십시오.
글 쓰면서 정리가 될 거예요.	글 쓰면서 정리가 될 겁니다.
글 쓰면서 정리가 될 거예요.	글 쓰면서 정리가 될 겁니다.
소리를 크게한번 질러보세요.	소리를 크게한번 질러보십시오.
거리를 걸어보세요.	거리를 걸어보십시오.
마음 감기조심하세요.	마음 감기조심하십시오.
마음이 조급해지면 하지 않을 실수를 하게 돼요.	마음이 조급해지면 하지 않을 실수를 하게 됩니다.
마음이 조급해지면 하지 않을 실수를 하게 돼요.	마음이 조급해지면 하지 않을 실수를 하게 됩니다.
너무 많이 생각하지 말고 마음 가는 대로 해보세요.	너무 많이 생각하지 말고 마음 가는 대로 해보십시오.
제가 채워드릴게요.	제가 채워드리겠습니다.
비싸지만 맛있어요.	비싸지만 맛있습니다.
고치고 싶다는 마음에서 시작하세요.	고치고 싶다는 마음에서 시작하십시오.
돈은 쓴만큼 또 생긴다고 하던데요.	돈은 쓴만큼 또 생긴다고 합니다.
생각 없이 말하는 사람이 옆에 있나봐요. 무시하세요.	생각 없이 말하는 사람이 옆에 있나 봅니다. 무시하십시오.
생각 없이 말하는 사람이 옆에 있나봐요. 무시하세요.	생각 없이 말하는 사람이 옆에 있나 봅니다. 무시하십시오.
말로 하는 상처는 지울 수도 없죠.	말로 하는 상처는 지울 수도 없습니다.
입을 닫고 듣는 연습을 해보세요.	입을 닫고 듣는 연습을 해보십시오.
입을 닫고 듣는 연습을 해보세요.	입을 닫고 듣는 연습을 해보십시오.
말로 하는 상처는 지울 수도 없죠.	말로 하는 상처는 지울 수도 없습니다.
생각하고 말하세요.	생각하고 말하십시오.
어쩔수없죠.	어쩔 수 없습니다.
어쩔수없죠.	어쩔 수 없습니다.
안전 귀가 하세요.	안전 귀가 하십시오.
성격이 안 맞나봐요.	성격이 안 맞나 봅니다.
만나지 마세요.	만나지 마십시오.
성격이 안 맞나봐요.	성격이 안 맞나 봅니다.
그러면 만나는게 좋은거 같아요.	그러면 만나는게 좋은거 같습니다.
만나지 마세요.	만나지 마십시오.
귀차니즘을 극복 하셔야해요.	귀차니즘을 극복 하셔야합니다.
그 친구랑 좋은 인연 만들어 보세요.	그 친구랑 좋은 인연 만들어 보십시오.
남자사람친구, 여자사람친구 하세요.	남자사람친구, 여자사람친구 하십시오.
후회는 후회를 낳을뿐이에요. 용기 내세요.	후회는 후회를 낳을뿐이에요. 용기 내십시오.
자신하고 만나는 시간도 중요해요.	자신하고 만나는 시간도 중요합니다.
그러면 만나는게 좋은거 같아요.	그러면 만나는게 좋은거 같습니다.
칭찬 감사합니다.	칭찬 감사합니다.
맛있을거 같아요.	맛있을거 같습니다.
마음과 마음을 이어보고 싶어하는 사람이 만들었어요.	마음과 마음을 이어보고 싶어하는 사람이 만들었습니다.
만족하면 발전이 없으니까요.	만족하면 발전이 없으니까 그렇지 않겠습니까.
만족하면 발전이 없으니까요.	만족하면 발전이 없으니까 그렇지 않겠습니까.
내가 있는 곳 그 자리에서 만족하는 것이 중요해요.	내가 있는 곳 그 자리에서 만족하는 것이 중요합니다.
신기하네요.	신기합니다.
자연의 이치죠. 안녕히 주무세요.	자연의 이치입니다. 안녕히 주무십시오.
요즘 바쁜가봐요.	요즘 바쁜가 봅니다.
처음만 어렵지 그 다음부터는 덜할 거예요.	처음만 어렵지 그 다음부터는 덜할 겁니다.
지금처럼만 하세요.	지금처럼만 하십시오.
책을 많이 읽어보세요.	책을 많이 읽어보십시오.
책을 많이 읽어보세요.	책을 많이 읽어보십시오.
책을 많이 읽어보세요.	책을 많이 읽어보십시오.
생각지도 못한 일이 일어났나봐요.	생각지도 못한 일이 일어났나 봅니다.
생각지도 못한 일이 일어났나봐요.	생각지도 못한 일이 일어났나 봅니다.
상처가 될 수 있어요.	상처가 될 수 있습니다.
별 거 아니라고 생각해보세요.	별 거 아니라고 생각해보십시오.
빼도 박도 못하는 증거를 만들어 놓으세요.	빼도 박도 못하는 증거를 만들어 놓으십시오.
말 잘하는 사람들 따라 연습해보세요.	말 잘하는 사람들 따라 연습해보십시오.
노력하겠습니다.	노력하겠습니다.
노력하겠습니다.	노력하겠습니다.
말 잘하는 사람들 따라 연습해보세요.	말 잘하는 사람들 따라 연습해보십시오.
두고두고 후회하겠네요.	두고두고 후회하겠습니다.
그 사람 말고 저랑 수다 떨어요.	그 사람 말고 저랑 수다 떠는 것은 어떻습니까.
대화의 눈높이가 맞는 사람 만나세요.	대화의 눈높이가 맞는 사람 만나십시오.
포기하지마세요.	포기하지마십시오.
그런 일이 많이 생기죠.	그런 일이 많이 생깁니다.
다른 사람 말은 한 귀로 흘리세요.	다른 사람 말은 한 귀로 흘리십시오.
생각하고 말하는 연습을 해보세요.	생각하고 말하는 연습을 해보십시오.
말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠네요.	말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠습니다.
말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠네요.	말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠습니다.
후련하니 다행이에요.	후련하니 다행입니다.
말은 주워담을 수 없어요.	말은 주워담을 수 없습니다.
말은 주워담을 수 없어요.	말은 주워담을 수 없습니다.
그러면 인생이 재미없지 않을까요.	그러면 인생이 재미없지 않겠습니까?
칭찬 감사합니다.	칭찬 감사합니다.
그러면 인생이 재미없지 않을까요.	그러면 인생이 재미없지 않겠습니까?
사는 재미가 없을거예요.	사는 재미가 없을겁니다.
말조심하세요.	말조심하십시오.
오늘 헤어졌어 라고 하면 위로해 드려요.	오늘 헤어졌어 라고 하면 위로해 드립니다.
제가 있잖아요.	제가 있지 않습니까.
다행이에요.	다행입니다.
먹고 운동하세요.	먹고 운동하십시오.
킁킁	킁킁
벌써 먹고 싶어요.	벌써 먹고 싶습니다.
맛있게 드시고 오셨길 바랍니다.	맛있게 드시고 오셨길 바랍니다.
벌써 먹고 싶어요.	벌써 먹고 싶습니다.
디저트는 언제나 맛있어요.	디저트는 언제나 맛있습니다.
네, 이제 잘 해낼 차례예요.	네, 이제 잘 해낼 차례입니다.
잘 선택했어요.	잘 선택하셨습니다.
좀 깨요.	좀 깹니다.
좀 깨요.	좀 깹니다.
아무래도 좀 깨요.	아무래도 좀 깹니다.
드세요!	드십시오!
스트레스 받으시는 일 있으신거죠.	스트레스 받으시는 일 있으신겁니까?
맛을거 같아요.	맛을거 같습니다.
좀 더 일찍 잠자리에 들어보세요.	좀 더 일찍 잠자리에 들어보십시오.
운명인가요.	운명인가 봅니다.
스트레스 받으시는 일 있으신가요?	스트레스 받으시는 일 있으십니까?
적당히 드세요.	적당히 드십시오.
소맥이요!	소맥은 어떻습니까?
소맥이요!	소맥은 어떻습니까?
저랑 한 잔 해요.	저랑 한 잔 합니다.
저랑 한 잔 해요.	저랑 한 잔 합니다.
적당히 드세요.	적당히 드십시오.
놀 때 놀고 할 때 하세요.	놀 때 놀고 할 때 하십시오.
인생이 그런 거예요. 그러다가 다른 게 나타나죠.	인생이 그런 겁니다. 그러다가 다른 게 나타납니다.
똑같은 건 없어요.	똑같은 건 없습니다.
그게 행복일지도 몰라요.	그게 행복일지도 모릅니다.
서로 마음만 맞으면 가능해요.	서로 마음만 맞으면 가능합니다.
보통 다 압니다.	보통 다 압니다.
예쁘게 깍고 오세요.	예쁘게 깍고 오십시오.
예쁘게 깎아요!	예쁘게 깎으십시오!
예쁘게 깎아요!	예쁘게 깎으십시오!
항상 청결하게 관리하세요.	항상 청결하게 관리하십시오.
다듬기만해도 괜찮을 거예요.	다듬기만해도 괜찮을 겁니다.
이상한 생각했나봐요.	이상한 생각했나 봅니다.
새로운 스타일에 도전하는 것도 좋아요.	새로운 스타일에 도전하는 것도 좋습니다.
새로운 스타일에 도전하는 것도 좋아요.	새로운 스타일에 도전하는 것도 좋습니다.
시원한 바람 쉬고 약먹기!	시원한 바람 쉬고 약먹기!
병원에 가보세요.	병원에 가보십시오.
보통 다 압니다.	보통 다 압니다.
앞머리만이라도 감으세요.	앞머리만이라도 감으십시오.
짧게 변화를 줘도 괜찮을 거 같아요.	짧게 변화를 줘도 괜찮을 거 같습니다.
헤어 디자이너에게 여쭤보세요.	헤어 디자이너에게 여쭤보십시오.
염색을 자주 하면 모발이 상해요.	염색을 자주 하면 모발이 상합니다.
눈을 감고 명상을 해보세요.	눈을 감고 명상을 해보십시오.
다듬기만해도 괜찮을 거예요.	다듬기만해도 괜찮을 겁니다.
스타일의 변화도 좋을 거예요.	스타일의 변화도 좋을 겁니다.
탈모 관리 해보세요.	탈모 관리 해보십시오.
잠시 쉬었다 가세요.	잠시 쉬었다 가십시오.
스타일의 변화도 좋을 거예요.	스타일의 변화도 좋을 겁니다.
이상한 생각했나봐요.	이상한 생각했나 봅니다.
시원한 바람 쉬고 약먹기!	시원한 바람 쉬고 약먹기!
잠시 휴식을 취해보세요.	잠시 휴식을 취해보십시오.
잠시 휴식을 취해보세요.	잠시 휴식을 취해보십시오.
병원에 가보세요.	병원에 가보십시오.
두통약 드세요.	두통약 드십시오.
신경쓰는 일이 많았나봅니다.	신경쓰는 일이 많았나봅니다.
바쁘면 좋을거죠.	바쁘면 좋은 겁니다.
기분 전환해보세요.	기분 전환해보십시오.
헤어 디자이너에게 여쭤보세요.	헤어 디자이너에게 여쭤보십시오.
바쁘면 좋을거죠.	바쁘면 좋은 겁니다.
스트레스를 받으시나봐요.	스트레스를 받으시나 봅니다.
스트레스를 받으시나봐요.	스트레스를 받으시나 봅니다.
스트레스 받지 마세요.	스트레스 받지 마십시오.
스트레스 받지 마세요.	스트레스 받지 마십시오.
관리하는 게 쉽지 않아요.	관리하는 게 쉽지 않습니다.
잠깐 시원한 바람좀 쐬고 오세요.	잠깐 시원한 바람좀 쐬고 오십시오.
잠깐 시원한 바람좀 쐬고 오세요.	잠깐 시원한 바람좀 쐬고 오십시오.
그럴 때가 있죠. 정신 차리세요.	그럴 때가 있습니다. 정신 차리십시오.
자연의 이치죠. 안녕히 주무세요.	자연의 이치입니다. 안녕히 주무십시오.
많이 지쳤나봐요.	많이 지쳤나 봅니다.
그게 최고죠.	그게 최고입니다.
저도 그러고 싶네요.	저도 그러고 싶습니다.
그게 최고죠.	그게 최고입니다.
소가 되는 방법이죠.	소가 되는 방법입니다.
소가 되는 방법이죠.	소가 되는 방법입니다.
돈 없어도 할 수 있는게 많아요	돈 없어도 할 수 있는게 많습니다.
먹고는 살아야죠.	먹고는 살아야 합니다.
먹고 운동하세요.	먹고 운동하십시오.
냉장고 파먹기 해보세요.	냉장고 파먹기 해보십시오.
장 보러 갈 타이밍이네요.	장 보러 갈 타이밍입니다.
장 보러 갈 타이밍이네요.	장 보러 갈 타이밍입니다.
조금만 드세요	조금만 드십시오.
대화의 눈높이가 맞는 사람 만나세요.	대화의 눈높이가 맞는 사람 만나십시오.
안녕히 주무세요.	안녕히 주무십시오.
